Date,Open,High,Low,Close,Adj Close,Volume
2017-03-06,13.000000,13.930000,12.380000,13.910000,13.910000,375540000
2017-03-13,14.480000,14.680000,13.360000,13.490000,13.490000,450199300
2017-03-20,13.680000,14.500000,13.540000,13.700000,13.700000,320007200
2017-03-27,13.350000,14.750000,13.210000,14.550000,14.550000,246669500
2017-04-03,14.600000,14.740000,12.830000,13.520000,13.520000,375594500
2017-04-10,13.520000,13.590000,12.220000,12.310000,12.310000,197922600
2017-04-17,12.530000,13.210000,12.370000,13.000000,13.000000,179517000
2017-04-24,13.230000,13.760000,13.050000,13.300000,13.300000,190349400
2017-05-01,13.430000,13.630000,9.850000,10.190000,10.190000,606062600
2017-05-08,10.220000,11.400000,10.000000,11.260000,11.260000,281133400
2017-05-15,11.410000,12.770000,10.810000,11.410000,11.410000,514081200
2017-05-22,11.490000,11.550000,10.620000,11.000000,11.000000,236891800
2017-05-29,10.950000,11.490000,10.570000,10.900000,10.900000,169326200
2017-06-05,10.840000,13.400000,10.800000,12.280000,12.280000,589181300
2017-06-12,11.750000,12.480000,11.210000,11.440000,11.440000,386439000
2017-06-19,11.630000,14.670000,11.620000,14.170000,14.170000,718972700
2017-06-26,14.390000,14.490000,12.360000,12.480000,12.480000,422500900
2017-07-03,12.570000,13.750000,12.130000,13.360000,13.360000,316699200
2017-07-10,13.610000,14.490000,13.270000,13.920000,13.920000,421672400
2017-07-17,14.030000,14.120000,13.150000,13.880000,13.880000,300768300
2017-07-24,14.000000,15.650000,13.680000,13.950000,13.950000,602212800
2017-07-31,14.090000,14.220000,13.020000,13.120000,13.120000,302572200
2017-08-07,13.330000,13.570000,11.880000,12.230000,12.230000,310358500
2017-08-14,12.580000,13.190000,12.250000,12.370000,12.370000,271948500
2017-08-21,12.420000,12.710000,11.860000,12.430000,12.430000,209268800
2017-08-28,12.530000,13.490000,11.930000,13.190000,13.190000,218501400
2017-09-04,12.880000,13.180000,12.040000,12.250000,12.250000,182331000
2017-09-11,12.460000,12.740000,12.110000,12.520000,12.520000,222527500
2017-09-18,12.770000,14.240000,12.740000,13.300000,13.300000,469023900
2017-09-25,13.250000,13.280000,12.430000,12.750000,12.750000,282160600
2017-10-02,12.800000,13.500000,12.620000,13.230000,13.230000,224955600
2017-10-09,13.260000,14.410000,13.260000,14.220000,14.220000,243473000
2017-10-16,14.250000,14.350000,13.690000,13.810000,13.810000,168487300
2017-10-23,13.940000,14.360000,11.350000,11.840000,11.840000,504767500
2017-10-30,11.260000,11.420000,10.650000,11.120000,11.120000,375467400
2017-11-06,12.040000,12.270000,11.030000,11.260000,11.260000,350346100
2017-11-13,11.180000,11.750000,10.770000,11.380000,11.380000,213414000
2017-11-20,11.470000,11.510000,11.190000,11.380000,11.380000,102694200
2017-11-27,11.340000,11.740000,10.530000,10.730000,10.730000,255791600
2017-12-04,10.850000,10.860000,9.700000,9.940000,9.940000,271147200
2017-12-11,9.970000,10.320000,9.880000,10.290000,10.290000,182131300
2017-12-18,10.600000,11.190000,10.200000,10.540000,10.540000,211699700
2017-12-25,10.380000,10.740000,10.270000,10.280000,10.280000,88648000
2018-01-01,10.420000,12.430000,10.340000,11.880000,11.880000,371524900
2018-01-08,12.010000,12.300000,11.560000,12.020000,12.020000,263972300
2018-01-15,12.050000,12.880000,11.800000,12.590000,12.590000,190594300
2018-01-22,12.610000,13.050000,12.320000,12.950000,12.950000,210337800
2018-01-29,13.130000,13.850000,12.430000,12.450000,12.450000,445835500
2018-02-05,12.050000,12.180000,10.630000,11.310000,11.310000,401380500
2018-02-12,11.470000,12.630000,11.430000,11.820000,11.820000,255505200
2018-02-19,11.720000,12.190000,11.630000,12.070000,12.070000,158496200
2018-02-26,12.140000,12.880000,11.430000,11.810000,11.810000,262958900
2018-03-05,11.690000,12.820000,11.550000,11.700000,11.700000,383774800
2018-03-12,11.760000,12.040000,11.100000,11.470000,11.470000,442557000
2018-03-19,11.410000,11.740000,10.570000,10.630000,10.630000,277905900
2018-03-26,10.710000,10.800000,9.790000,10.050000,10.050000,257943300
2018-04-02,9.990000,10.200000,9.040000,9.610000,9.610000,303919000
2018-04-09,9.750000,10.220000,9.520000,9.930000,9.930000,197121200
2018-04-16,10.000000,10.650000,9.900000,9.990000,9.990000,213538500
2018-04-23,10.090000,11.360000,9.560000,11.110000,11.110000,398173400
2018-04-30,11.060000,11.290000,10.770000,11.280000,11.280000,204513200
2018-05-07,11.320000,12.180000,11.300000,11.950000,11.950000,232434000
2018-05-14,12.140000,13.260000,12.110000,13.000000,13.000000,260566900
2018-05-21,13.250000,13.720000,12.710000,13.540000,13.540000,229134800
2018-05-28,13.450000,14.400000,13.260000,14.400000,14.400000,216240500
2018-06-04,14.760000,15.970000,14.310000,15.250000,15.250000,409548500
2018-06-11,15.210000,16.790001,15.010000,16.340000,16.340000,428628300
2018-06-18,16.180000,17.340000,15.460000,15.800000,15.800000,428036400
2018-06-25,15.640000,15.760000,14.540000,14.990000,14.990000,294890800
2018-07-02,14.800000,16.389999,14.740000,16.360001,16.360001,181297800
2018-07-09,16.730000,16.840000,16.020000,16.270000,16.270000,222964800
2018-07-16,16.420000,17.000000,16.410000,16.500000,16.500000,232617900
2018-07-23,16.469999,19.879999,15.720000,18.940001,18.940001,540312100
2018-07-30,19.400000,20.180000,18.000000,18.490000,18.490000,460821200
2018-08-06,18.889999,19.770000,18.459999,19.059999,19.059999,320958200
2018-08-13,19.160000,20.280001,18.730000,19.770000,19.770000,387312800
2018-08-20,19.790001,24.000000,19.350000,23.980000,23.980000,458387200
2018-08-27,24.940001,27.299999,24.010000,25.170000,25.170000,852866500
2018-09-03,25.620001,29.940001,25.570000,27.379999,27.379999,717181900
2018-09-10,28.150000,34.139999,27.840000,32.720001,32.720001,1041955800
2018-09-17,31.750000,33.369999,30.510000,31.020000,31.020000,734280200
2018-09-24,31.129999,33.599998,29.980000,30.889999,30.889999,569638000
2018-10-01,30.690001,31.910000,26.540001,27.350000,27.350000,613996300
2018-10-08,26.730000,27.709999,24.549999,26.340000,26.340000,615007400
2018-10-15,26.379999,28.530001,23.600000,23.660000,23.660000,462943000
2018-10-22,24.459999,25.639999,17.049999,17.629999,17.629999,659273700
2018-10-29,18.209999,21.059999,16.170000,20.230000,20.230000,564677200
2018-11-05,20.120001,22.219999,18.879999,21.030001,21.030001,552416500
2018-11-12,20.680000,21.770000,18.799999,20.660000,20.660000,488510600
2018-11-19,20.400000,20.590000,17.180000,19.379999,19.379999,339644500
2018-11-26,19.959999,21.879999,19.110001,21.299999,21.299999,499090800
2018-12-03,22.480000,23.750000,19.170000,19.459999,19.459999,476199500
2018-12-10,19.350000,21.139999,19.270000,19.900000,19.900000,439174500
2018-12-17,20.010000,20.020000,16.760000,16.930000,16.930000,589235800
2018-12-24,16.520000,18.309999,16.030001,17.820000,17.820000,392332300
2018-12-31,18.150000,19.070000,16.940001,19.000000,19.000000,401037100
2019-01-07,19.440001,21.440001,18.900000,20.270000,20.270000,593112300
2019-01-14,19.959999,21.049999,19.020000,20.770000,20.770000,378134700
2019-01-21,20.480000,22.030001,19.549999,21.930000,21.930000,363997900
2019-01-28,20.320000,25.139999,19.049999,24.510000,24.510000,765719600
2019-02-04,24.430000,24.660000,22.270000,23.049999,23.049999,436607300
2019-02-11,23.049999,24.049999,22.590000,23.680000,23.680000,328803600
2019-02-18,23.629999,24.410000,23.610001,24.360001,24.360001,216868400
2019-02-25,25.010000,25.520000,23.110001,23.680000,23.680000,261809300
2019-03-04,23.889999,24.129999,21.040001,22.010000,22.010000,246243700
2019-03-11,22.150000,24.150000,21.980000,23.290001,23.290001,256875100
2019-03-18,23.299999,28.110001,23.040001,26.370001,26.370001,587009700
2019-03-25,26.290001,26.990000,24.549999,25.520000,25.520000,360947900
2019-04-01,26.420000,29.950001,25.830000,28.980000,28.980000,461863400
2019-04-08,28.690001,28.950001,27.190001,27.850000,27.850000,283760400
2019-04-15,27.799999,28.270000,26.959999,27.680000,27.680000,176274300
2019-04-22,27.620001,28.860001,27.049999,27.879999,27.879999,236197100
2019-04-29,27.900000,29.150000,26.610001,28.219999,28.219999,409783400
2019-05-06,26.719999,28.100000,26.030001,27.959999,27.959999,368261400
2019-05-13,26.980000,28.459999,26.100000,27.500000,27.500000,370403700
2019-05-20,26.980000,27.590000,26.030001,26.440001,26.440001,263516900
2019-05-27,27.270000,29.670000,27.059999,27.410000,27.410000,380876100
2019-06-03,28.750000,32.599998,27.290001,32.410000,32.410000,552672100
2019-06-10,33.529999,34.299999,30.020000,30.360001,30.360001,370731400
2019-06-17,30.250000,31.360001,28.969999,29.100000,29.100000,374823600
2019-06-24,29.320000,31.110001,28.670000,30.370001,30.370001,280184100
2019-07-01,31.790001,32.040001,30.730000,31.500000,31.500000,155471500
2019-07-08,31.799999,34.029999,30.100000,33.209999,33.209999,286089100
2019-07-15,33.340000,34.860001,32.419998,32.509998,32.509998,278127400
2019-07-22,32.799999,34.770000,32.740002,34.020000,34.020000,198470500
2019-07-29,34.139999,34.180000,28.940001,29.440001,29.440001,378600700
2019-08-05,28.260000,35.549999,27.650000,34.189999,34.189999,493251800
2019-08-12,34.160000,34.650002,29.209999,31.180000,31.180000,478611400
2019-08-19,32.000000,32.189999,29.400000,29.540001,29.540001,288311400
2019-08-26,30.340000,31.870001,29.600000,31.450001,31.450001,244407400
2019-09-02,30.830000,32.049999,30.480000,30.559999,30.559999,194178100
2019-09-09,30.930000,31.180000,29.510000,30.690001,30.690001,255026800
2019-09-16,30.370001,31.320000,29.650000,30.049999,30.049999,255848100
2019-09-23,30.120001,30.799999,28.350000,28.719999,28.719999,270401100
2019-09-30,28.889999,29.540001,27.430000,29.010000,29.010000,208790000
2019-10-07,28.900000,30.200001,27.920000,29.750000,29.750000,226181400
2019-10-14,29.709999,31.410000,29.379999,30.969999,30.969999,205444900
2019-10-21,31.500000,32.860001,30.830000,32.709999,32.709999,188127000
2019-10-28,33.160000,35.000000,32.029999,34.889999,34.889999,340272700
2019-11-04,35.189999,37.180000,34.759998,36.290001,36.290001,313571600
2019-11-11,35.959999,39.369999,35.580002,38.560001,38.560001,298611900
2019-11-18,38.650002,41.790001,38.189999,39.150002,39.150002,385245000
2019-11-25,39.500000,40.169998,38.810001,39.150002,39.150002,140612800
2019-12-02,39.320000,40.220001,37.150002,39.630001,39.630001,198241400
2019-12-09,39.459999,42.950001,38.820000,41.150002,41.150002,260165800
2019-12-16,41.730000,44.259998,41.730000,44.150002,44.150002,256747900
2019-12-23,44.580002,47.310001,44.389999,46.180000,46.180000,194462800
2019-12-30,46.139999,49.389999,44.660000,48.599998,48.599998,226281400
2020-01-06,48.020000,49.959999,47.139999,48.169998,48.169998,280409800
2020-01-13,48.660000,51.049999,47.910000,50.930000,50.930000,229651300
2020-01-20,50.959999,52.810001,49.470001,50.349998,50.349998,210007500
2020-01-27,48.450001,50.849998,46.099998,47.000000,47.000000,354354900
2020-02-03,46.400002,50.669998,46.230000,49.730000,49.730000,237800900
2020-02-10,49.470001,55.400002,49.349998,55.310001,55.310001,285691100
